frame number,location x (m),location y (m),location z (m),rotation x (rad),rotation y (rad),rotation z (rad)
0,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
1,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
2,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
3,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
4,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
5,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
6,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
7,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
8,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
9,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
10,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
11,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
12,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
13,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
14,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
15,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
16,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
17,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
18,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
19,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
20,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
21,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
22,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
23,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
24,0,0,0.029999999329448,1.57079637050629,0,-1.57079637050629
25,0,0,0.029999999329448,1.57079637050629,0,-1.57046020030975
26,0,0,0.029999999329448,1.57079637050629,0,-1.56947076320648
27,0,0,0.029999999329448,1.57079637050629,0,-1.56785619258881
28,0,0,0.029999999329448,1.57079637050629,0,-1.56564521789551
29,0,0,0.029999999329448,1.57079637050629,0,-1.56286597251892
30,0,0,0.029999999329448,1.57079637050629,0,-1.55954718589783
31,0,0,0.029999999329448,1.57079637050629,0,-1.55571699142456
32,0,0,0.029999999329448,1.57079637050629,0,-1.55140388011932
33,0,0,0.029999999329448,1.57079637050629,0,-1.54663622379303
34,0,0,0.029999999329448,1.57079637050629,0,-1.54144239425659
35,0,0,0.029999999329448,1.57079637050629,0,-1.5358510017395
36,0,0,0.029999999329448,1.57079637050629,0,-1.52989017963409
37,0,0,0.029999999329448,1.57079637050629,0,-1.52358853816986
38,0,0,0.029999999329448,1.57079637050629,0,-1.516974568367
39,0,0,0.029999999329448,1.57079637050629,0,-1.51007628440857
40,0,0,0.029999999329448,1.57079637050629,0,-1.50292253494263
41,0,0,0.029999999329448,1.57079637050629,0,-1.49554133415222
42,0,0,0.029999999329448,1.57079637050629,0,-1.48796129226685
43,0,0,0.029999999329448,1.57079637050629,0,-1.48021101951599
44,0,0,0.029999999329448,1.57079637050629,0,-1.47231864929199
45,0,0,0.029999999329448,1.57079637050629,0,-1.46431243419647
46,0,0,0.029999999329448,1.57079637050629,0,-1.4562212228775
47,0,0,0.029999999329448,1.57079637050629,0,-1.44807314872742
48,0,0,0.029999999329448,1.57079637050629,0,-1.43989658355713
49,0,0,0.029999999329448,1.57079637050629,0,-1.43172013759613
50,0,0,0.029999999329448,1.57079637050629,0,-1.42357206344605
51,0,0,0.029999999329448,1.57079637050629,0,-1.41548073291779
52,0,0,0.029999999329448,1.57079637050629,0,-1.40747463703156
53,0,0,0.029999999329448,1.57079637050629,0,-1.39958226680756
